id,GEOID10,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,RB_CUSTMR
378,42101980500,2.58,3.09,2.81,2.91,2.51,2.9,3.06,2.87,3.4,1.79,1.58,1.65,33
376,42101980300,1.2,1,1.39,1.29,1.29,1.1,1.2,1.1,1.39,1.1,1,1.13,19
381,42101980800,1.8,2.7,2.2,1.5,1.8,1.3,1.8,1.2,2,1.79,1.4,1.71,8
54,42101005000,3.94E-03,6.25E-03,6.25E-03,5.79E-03,5.56E-03,4.17E-03,4.86E-03,2.78E-03,3.71E-03,4.17E-03,4.40E-03,2.85E-03,1
380,42101980700,1.91,1.61,1.84,1.78,1.69,1.36,1.08,1.24,2.29,1.61,0.94,1.17,1
377,42101980400,0.53,0.84,0.84,0.78,0.75,0.56,0.65,0.37,0.5,0.56,0.59,0.38,0
379,42101980600,1.15,1.17,1.19,0.98,1.13,0.82,0.81,0.94,1.29,1.27,0.72,0.9,0
382,42101980900,1.68,2.35,2.46,2.16,2.19,1.63,1.82,1.24,1.56,1.64,1.54,1.13,0
374,42101980100,1.47,1.54,1.71,1.43,1.4,1.39,1.63,1.14,1.38,1.57,1.02,1.27,15
375,42101980200,1.39,1.15,1.42,1.34,1.3,1.24,1.53,1.17,1.18,1.33,1.05,1.23,38
349,42101036400,1.23,1,1.32,1.22,1.22,1.1,1.31,1.1,1.24,1.1,1,1.11,19
154,42101016200,2.68,3.25,3.18,2.7,2.88,3.1,2.28,2.71,3.17,2.04,1.76,1.73,158
185,42101019501,2.46,3.03,2.45,2.62,2.15,2.55,3.3,2.69,3.12,1.8,1.73,1.61,276
143,42101014800,2.69,3.49,3.5,3.28,3.3,3.57,2.6,2.7,3.6,2.29,1.99,2.9,51
149,42101015600,2.89,3.13,2.83,2.64,2.52,3.3,1.95,2.68,3.08,1.93,1.83,1.35,167
363,42101038100,1.85,2.23,1.94,1.93,1.82,1.92,1.52,1.11,1.9,1.35,1.48,1.11,56
266,42101028700,2.39,2.98,2.31,2.5,2.01,2.41,3.37,2.59,3.01,1.79,1.78,1.6,122
373,42101980000,2.33,2.13,2.88,2.29,2.6,2.23,1.86,2.34,3.31,1.98,1.89,2.11,55
1,42101000200,1.73,1.97,1.55,1.5,1.75,1.55,1.4,1.49,1.6,1.81,1.81,1.58,21
186,42101019502,2.43,3.01,2.39,2.57,2.09,2.49,3.34,2.65,3.07,1.8,1.76,1.61,279
55,42101005400,1.7,2.7,2.7,2.5,2.4,1.8,2.1,1.2,1.6,1.8,1.9,1.23,46
212,42101023100,1.5,1.6,1.9,1.1,1.6,2.2,1.2,1.6,1.5,2.5,1,1.73,85
219,42101024100,1.44,1.92,1.84,2.1,1.57,1.64,2.07,1.31,1.96,1.58,1,1.32,34
150,42101015700,2.33,2.89,2.91,2.35,2.61,2.29,2.08,2.22,2.45,1.92,1.56,1.76,175
121,42101012203,1.84,2.59,2.32,1.62,1.93,1.46,1.77,1.36,2.21,1.82,1.48,1.73,1
213,42101023500,1.52,1.81,1.72,1.59,1.52,1.73,1.7,1.06,1.41,1.4,1.01,1.26,48
264,42101028500,2.14,2.38,3.02,2.78,2.72,2.89,2.15,2.27,3.46,1.55,1,1.26,86
88,42101008801,2,2.78,2.41,1.71,2.31,2.4,2.58,1.12,2.03,1.7,1.7,1.98,3
57,42101005600,1.7,2.7,2.7,2.5,2.4,1.8,2.1,1.2,1.6,1.8,1.9,1.23,13
352,42101036600,2.04,1.44,1.92,1.39,1.67,1.4,1.43,1.32,2.16,1.97,1.52,1.53,12
190,42101020000,2.59,3.09,2.79,2.89,2.49,2.89,3.09,2.88,3.38,1.8,1.6,1.63,79
172,42101017602,2.57,3.11,2.62,2.75,2.36,2.3,2.83,2.83,3.11,1.8,1.67,1.63,225
138,42101014300,2.4,2.3,2,1.9,1.7,1.9,1.3,1.7,1.6,1.6,1.5,1.08,147
105,42101010600,1.97,1.96,3.35,2.91,3.05,2.43,2.3,2.27,3.6,1.93,1.93,1.93,65
171,42101017601,2.53,3.07,2.59,2.73,2.31,2.54,3.08,2.79,3.18,1.8,1.68,1.62,437
365,42101038300,2.42,3,2.38,2.56,2.1,2.53,3.3,2.67,3.09,1.8,1.75,1.6,133
34,42101002801,2.6,2.04,3.13,1.94,2.88,1.72,1.46,1.67,3.3,2.1,1.14,1.44,217
155,42101016300,2.48,3.15,3.11,2.58,2.81,2.79,2.3,2.48,2.83,2.07,1.73,1.88,190
124,42101013100,1.93,2.72,2.32,1.92,2.12,2.31,1.89,2.3,2.81,1.61,1.61,1.82,37
6,42101000600,1.73,1.96,1.54,1.5,1.76,1.54,1.4,1.49,1.59,1.81,1.81,1.58,8
210,42101021900,1.4,1.3,1.6,1.6,1.1,1.1,1.8,1,1.3,1.4,1,1.2,81
5,42101000500,1.79,1.95,1.53,1.48,1.7,1.51,1.41,1.46,1.61,1.85,1.85,1.63,6
368,42101038600,1.49,1.64,1.85,1.2,1.57,2.09,1.3,1.47,1.47,2.26,1,1.63,119
140,42101014500,3.4,3.9,3.6,3,3.1,3.1,1.8,2.7,3.5,2.4,2.3,2.72,115
364,42101038200,2.42,3.17,2.34,2.61,2.14,2.17,2.46,2.8,3,1.71,1.94,1.53,235
158,42101016600,2.69,2.31,3.29,2.5,3.09,2.4,3.1,2.9,3.79,2.09,1.69,2.06,66
217,42101023900,1.87,2.09,2.03,1.55,1.83,2.24,1.7,1.95,1.69,1.4,1.2,1.24,32
188,42101019800,2.56,3.08,2.72,2.83,2.42,2.82,3.14,2.85,3.33,1.8,1.63,1.62,388
8,42101000801,1.32,1.44,2.3,1.5,2.1,1.23,1.72,1.19,1.22,1.7,1.79,1.51,43
211,42101022000,1.4,1.3,1.6,1.6,1.1,1.1,1.8,1,1.3,1.4,1,1.2,128
26,42101002000,2.5,2.6,2.8,3.1,2.5,2.5,2.5,2.4,2.8,1.8,1.4,1.21,290
338,42101035702,1.39,1,1.49,1.49,1.39,1.1,1.5,1.1,1.09,1.69,1,1.1,115
360,42101037800,2.47,3.08,2.43,2.58,2.21,2.17,2.28,2.66,2.8,1.75,1.84,1.55,199
273,42101029300,2.4,1.93,2.78,1.9,2.39,2.21,1.31,1.4,3.3,1.78,1.99,1.32,180
234,42101025800,1.48,1.62,1.91,1.12,1.61,2.16,1.2,1.56,1.53,2.46,1,1.71,109
337,42101035701,1.39,1,1.49,1.49,1.39,1.1,1.5,1.1,1.09,1.69,1,1.1,101
358,42101037600,1.9,2.7,2.3,1.9,2.1,2.3,1.9,2.3,2.8,1.6,1.6,1.8,30
207,42101021600,1.44,1.34,1.55,1.55,1.19,1.14,1.84,1,1.39,1.4,1,1.2,112
267,42101028800,2.4,3,2.3,2.5,2,2.4,3.4,2.6,3,1.8,1.8,1.61,141
