piece,voices_p6_up,voice_role_lo1_nim,start_measure,voices_p6_lo,cadence_final_tone,stop_measure,cadence_kind,cadence_kind_before,cadence_kind_after,cadence_final_tone_before,cadence_final_tone_after,phrase_length
Vous estes un fascheux homme,None,None,10,None,D,10,NoCadence,Authentic,Authentic+Plagal,G,D+F,1
Si je n'avois de fermeté,None,None,19,None,G,20,Authentic,NoCadence,None,None,None,2
Si je n'avois de fermeté,None,None,16,None,None,17,NoCadence,Authentic,Authentic,A,G,2
Si je n'avois de fermeté,None,None,13,None,A,14,Authentic,Plagal,NoCadence,D,None,2
Si je n'avois de fermeté,None,None,10,None,D,10,Plagal,Authentic,Authentic,G,A,1
Si je n'avois de fermeté,None,None,6,None,G,7,Authentic,Authentic,Plagal,C,D,2
Si je n'avois de fermeté,None,None,2,None,C,3,Authentic,None,Authentic,None,G,2
Si tu as veu que pour ton feu estaindre,None,None,42,None,G,43,Authentic,NoCadence,None,None,None,2
Si tu as veu que pour ton feu estaindre,None,None,36,None,None,38,NoCadence,Authentic,Authentic,C,G,3
Si tu as veu que pour ton feu estaindre,None,None,31,None,C,32,Authentic,Plagal,NoCadence,G,None,2
Si tu as veu que pour ton feu estaindre,None,None,21,None,G,21,Plagal,NoCadence,Authentic,None,C,1
Si tu as veu que pour ton feu estaindre,None,None,16,None,None,17,NoCadence,Authentic,Plagal,C,G,2
Si tu as veu que pour ton feu estaindre,None,None,9,None,C,10,Authentic,NoCadence,NoCadence,None,None,2
Si tu as veu que pour ton feu estaindre,None,None,5,None,None,6,NoCadence,None,Authentic,None,C,2
Vous souvient-il ; ma mignonne,None,None,29,None,G,30,Authentic,NoCadence,None,None,None,2
Vous souvient-il ; ma mignonne,None,None,25,None,None,26,NoCadence,Authentic,Authentic,C,G,2
Vous souvient-il ; ma mignonne,None,None,20,None,C,21,Authentic,NoCadence,NoCadence,None,None,2
Vous souvient-il ; ma mignonne,None,None,17,None,None,18,NoCadence,Authentic,Authentic,G,C,2
Vous souvient-il ; ma mignonne,None,None,6,None,G,7,Authentic,Plagal,NoCadence,D,None,2
Vous souvient-il ; ma mignonne,None,None,3,None,D,4,Plagal,None,Authentic,None,G,2
Je suys a vous mais sçavez vous comment,None,None,36,None,G,37,Authentic,NoCadence,None,None,None,2
Je suys a vous mais sçavez vous comment,None,None,33,None,None,34,NoCadence,NoCadence,Authentic,None,G,2
Je suys a vous mais sçavez vous comment,None,None,29,None,None,31,NoCadence,NoCadence,NoCadence,None,None,3
Je suys a vous mais sçavez vous comment,None,None,23,None,None,24,NoCadence,Authentic,NoCadence,G,None,2
Je suys a vous mais sçavez vous comment,None,None,8,None,G,9,Authentic,NoCadence,NoCadence,None,None,2
Je suys a vous mais sçavez vous comment,None,None,4,None,None,5,NoCadence,None,Authentic,None,G,2
Un gay berger prioit une bergiere,None,None,48,None,G,49,Authentic,Authentic,None,G,None,2
Un gay berger prioit une bergiere,None,None,41,None,G,42,Authentic,NoCadence,Authentic,None,G,2
Un gay berger prioit une bergiere,None,None,34,None,None,35,NoCadence,Plagal,Authentic,G,G,2
Un gay berger prioit une bergiere,None,None,31,None,G,32,Plagal,Authentic,NoCadence,G,None,2
Un gay berger prioit une bergiere,None,None,26,None,G,27,Authentic,Authentic,Plagal,G,G,2
Un gay berger prioit une bergiere,None,None,13,None,G,14,Authentic,Authentic,Authentic,G,G,2
Un gay berger prioit une bergiere,None,None,6,None,G,7,Authentic,None,Authentic,None,G,2
En amour y a du plaisir,None,None,24,None,F,25,Authentic,NoCadence,None,None,None,2
En amour y a du plaisir,None,None,21,None,None,22,NoCadence,Plagal,Authentic+Authentic,C,F+F,2
En amour y a du plaisir,None,None,19,None,C,19,Plagal,Plagal,NoCadence,D,None,1
En amour y a du plaisir,None,None,15,None,D,16,Plagal,NoCadence,Plagal,None,C,2
En amour y a du plaisir,None,None,13,None,None,13,NoCadence,NoCadence,Plagal,None,D,1
En amour y a du plaisir,None,None,11,None,None,11,NoCadence,NoCadence,NoCadence,None,None,1
En amour y a du plaisir,None,None,8,None,None,8,NoCadence,NoCadence,NoCadence,None,None,1
En amour y a du plaisir,None,None,5,None,None,5,NoCadence,NoCadence,NoCadence,None,None,1
En amour y a du plaisir,None,None,2,None,None,3,NoCadence,None,NoCadence+NoCadence,None,None+None,2
Il n'est que d'estre sur l'herbette,None,None,26,None,None,28,NoCadence,Authentic,Authentic,G,F,3
Il n'est que d'estre sur l'herbette,None,None,18,None,None,18,NoCadence,Authentic+NoCadence,Authentic,F+None,G,1
Il n'est que d'estre sur l'herbette,None,None,11,None,F,12,Authentic,NoCadence,NoCadence+NoCadence,None,None+None,2
Il n'est que d'estre sur l'herbette,None,None,4,None,None,5,NoCadence,None,Authentic,None,F,2
Pour avoir fille en mariage,None,None,41,None,F,42,Authentic,Authentic,None,F,None,2
Pour avoir fille en mariage,None,None,39,None,None,39,NoCadence,NoCadence,Authentic,None,F,1
Pour avoir fille en mariage,None,None,37,None,None,37,NoCadence,Plagal,NoCadence+Authentic,D,None+F,1
Pour avoir fille en mariage,None,None,33,None,D,34,Plagal,Plagal,NoCadence,D,None,2
Pour avoir fille en mariage,None,None,29,None,D,30,Plagal,Plagal,Plagal,A,D,2
Pour avoir fille en mariage,None,None,21,None,A,22,Plagal,Authentic,Plagal,F,D,2
Pour avoir fille en mariage,None,None,14,None,F,15,Authentic,Authentic,Plagal,A,A,2
Pour avoir fille en mariage,None,None,11,None,A,12,Authentic,Authentic,Authentic,A,F,2
Pour avoir fille en mariage,None,None,9,None,A,10,Authentic,Authentic,Authentic,F,A,2
Pour avoir fille en mariage,None,None,7,None,F,8,Authentic,Authentic,Authentic,F,A,2
Pour avoir fille en mariage,None,None,4,None,F,4,Authentic,Authentic,Authentic,F,F,1
Pour avoir fille en mariage,None,None,2,None,F,3,Authentic,None,Authentic+Authentic,None,F+F,2
Si le pouvoir de Diane a esté,None,None,26,None,F,27,Authentic,Phrygian+Authentic,None,E+C,None,2
Si le pouvoir de Diane a esté,None,None,21,None,E,22,Phrygian,Phrygian,Authentic+Authentic,A,F+F,2
