geoid,name,B19001001 - Total:,"B19001001 - Total:, Error","B19001002 - Less than $10,000","B19001002 - Less than $10,000, Error","B19001003 - $10,000 to $14,999","B19001003 - $10,000 to $14,999, Error","B19001004 - $15,000 to $19,999","B19001004 - $15,000 to $19,999, Error","B19001005 - $20,000 to $24,999","B19001005 - $20,000 to $24,999, Error","B19001006 - $25,000 to $29,999","B19001006 - $25,000 to $29,999, Error","B19001007 - $30,000 to $34,999","B19001007 - $30,000 to $34,999, Error","B19001008 - $35,000 to $39,999","B19001008 - $35,000 to $39,999, Error","B19001009 - $40,000 to $44,999","B19001009 - $40,000 to $44,999, Error","B19001010 - $45,000 to $49,999","B19001010 - $45,000 to $49,999, Error","B19001011 - $50,000 to $59,999","B19001011 - $50,000 to $59,999, Error","B19001012 - $60,000 to $74,999","B19001012 - $60,000 to $74,999, Error",,,,,,,,,,,,,,,,,,,,,,,,,,,"B19001013 - $75,000 to $99,999","B19001013 - $75,000 to $99,999, Error","B19001014 - $100,000 to $124,999","B19001014 - $100,000 to $124,999, Error","B19001015 - $125,000 to $149,999","B19001015 - $125,000 to $149,999, Error","B19001016 - $150,000 to $199,999","B19001016 - $150,000 to $199,999, Error","B19001017 - $200,000 or more","B19001017 - $200,000 or more, Error"
14000US42101000100,"Census Tract 1, Philadelphia, PA",2143,221,224,112,60,61,13,22,24,25,0,10,84,38,52,43,47,41,93,78,146,74,319,120,,,,,,,,,,,,,,,,,,,,,,,,,,,392,160,188,101,130,81,212,89,159,111
14000US42101000200,"Census Tract 2, Philadelphia, PA",943,126,107,54,23,21,9,15,49,51,42,30,106,77,63,65,0,10,74,59,73,59,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,89,48,122,81,56,45,72,41,30,18
14000US42101000300,"Census Tract 3, Philadelphia, PA",1854,114,228,92,113,60,54,44,60,43,54,38,49,35,106,85,91,61,33,27,67,50,133,74,,,,,,,,,,,,,,,,,,,,,,,,,,,206,81,154,54,141,80,107,78,258,94
14000US42101000401,"Census Tract 4.01, Philadelphia, PA",1632,143,396,143,120,100,55,42,118,81,127,74,73,64,13,15,27,33,31,35,80,53,166,114,,,,,,,,,,,,,,,,,,,,,,,,,,,83,48,57,54,113,76,65,61,108,73
14000US42101000402,"Census Tract 4.02, Philadelphia, PA",2307,156,341,158,105,66,240,113,115,91,82,63,138,93,44,33,96,69,80,48,136,112,162,119,,,,,,,,,,,,,,,,,,,,,,,,,,,217,97,182,87,111,69,134,74,124,72
14000US42101000500,"Census Tract 5, Philadelphia, PA",711,67,102,43,23,21,70,49,35,30,74,49,4,7,34,24,0,10,66,55,91,40,57,43,,,,,,,,,,,,,,,,,,,,,,,,,,,82,48,39,23,14,22,9,12,11,20
14000US42101000600,"Census Tract 6, Philadelphia, PA",639,82,135,57,14,17,12,15,0,10,3,7,38,46,0,10,11,17,16,20,82,47,100,69,,,,,,,,,,,,,,,,,,,,,,,,,,,89,57,54,38,28,21,6,9,51,35
14000US42101000700,"Census Tract 7, Philadelphia, PA",2010,179,494,170,123,73,43,42,99,55,181,109,28,31,65,71,40,38,122,83,98,84,104,69,,,,,,,,,,,,,,,,,,,,,,,,,,,272,140,170,110,44,40,57,39,70,37
14000US42101000801,"Census Tract 8.01, Philadelphia, PA",1014,79,75,59,0,10,26,30,8,13,63,71,107,104,41,41,41,48,16,25,20,26,74,65,,,,,,,,,,,,,,,,,,,,,,,,,,,121,83,67,51,54,47,197,158,104,36
14000US42101000803,"Census Tract 8.03, Philadelphia, PA",2602,181,106,69,148,122,89,93,97,83,254,154,54,52,49,37,99,94,159,131,113,71,128,96,,,,,,,,,,,,,,,,,,,,,,,,,,,294,156,244,153,97,83,268,135,403,165
