id,GEOID10,Total:,Speak only English,Spanish or Spanish Creole:,"Speak English ""very well""","Speak English less than ""very well""","French (incl. Patois, Cajun):",French Creole:,Italian:,Portuguese or Portuguese Creole:,German:,Yiddish:,Other West Germanic languages:,Scandinavian languages:,Greek:,Russian:,Polish:,Serbo-Croatian:,Other Slavic languages:,Armenian:,Persian:,Gujarati:,Hindi:,Urdu:,Other Indic languages:,Other Indo-European languages:,Chinese:,Japanese:,Korean:,"Mon-Khmer, Cambodian:",Hmong:,Thai:,Laotian:,Vietnamese:,Other Asian languages:,Tagalog:,Other Pacific Island languages:,Navajo:,Other Native North American languages:,Hungarian:,Arabic:,Hebrew:,African languages:,Other and unspecified languages:,"$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",ApproxAvgIncome,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,LI_AVG,RB_CUSTMR
352,42101036600,842,1117,18,0,0,17,0,0,22,12,0,0,0,0,7,0,0,36,0,0,0,0,0,122,0,28,0,55,19,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,16,9,0,8,14,20,109,95,120,104,155,171,119197.8287,2.04,1.44,1.92,1.39,1.67,1.4,1.43,1.32,2.16,1.97,1.52,1.53,1.649166667,12
375,42101980200,26,231,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,9,0,7,114230.7692,1.39,1.15,1.42,1.34,1.3,1.24,1.53,1.17,1.18,1.33,1.05,1.23,1.2775,38
369,42101038700,647,1908,22,0,0,27,0,49,0,29,0,5,0,0,9,0,0,0,0,0,0,0,13,12,0,0,21,0,5,0,5,0,0,0,0,12,0,0,0,0,4,0,0,17,9,0,15,21,13,42,8,14,73,70,41,66,69,164,111953.3762,1.5,1.6,1.9,1.1,1.6,2.2,1.2,1.6,1.5,2.5,1,1.73,1.619166667,175
17,42101001201,1937,2990,78,0,0,168,0,67,55,21,0,0,31,0,0,0,13,0,0,0,0,61,0,0,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,13,0,8,8,64,34,57,56,88,195,221,337,152,173,416,111374.8628,1.64,1.74,2.35,1.92,2.15,1.54,1.91,1.55,1.66,1.78,1.73,1.57,1.795,252
13,42101001001,1433,1922,85,0,0,28,0,60,0,0,11,24,0,16,22,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,17,16,0,0,6,27,26,21,11,28,84,82,106,107,169,92,96,111,382,110174.3323,1.75,1.68,1.69,1.44,1.52,1.48,1.47,1.38,1.71,1.97,1.84,1.45,1.615,99
368,42101038600,603,1297,14,0,0,25,0,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,18,0,24,66,15,14,18,21,35,52,57,52,51,165,109940.4762,1.49,1.64,1.85,1.2,1.57,2.09,1.3,1.47,1.47,2.26,1,1.63,1.580833333,119
367,42101038500,826,1587,18,0,0,12,0,0,0,23,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,53,0,0,0,0,0,0,15,0,0,23,8,0,48,40,9,5,22,61,55,119,68,48,64,223,109117.2762,1.5,1.6,1.9,1.1,1.6,2.2,1.2,1.6,1.5,2.5,1,1.73,1.619166667,143
349,42101036400,53,287,35,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,4,0,3,3,4,9,4,13,107924.5283,1.23,1,1.32,1.22,1.22,1.1,1.31,1.1,1.24,1.1,1,1.11,1.1625,19
212,42101023100,541,939,28,0,0,42,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,30,5,0,9,14,0,54,37,48,57,55,44,142,107920.5176,1.5,1.6,1.9,1.1,1.6,2.2,1.2,1.6,1.5,2.5,1,1.73,1.619166667,85
14,42101001002,1837,2712,104,0,0,47,0,65,0,86,0,0,0,0,0,0,0,3,0,0,0,13,24,0,0,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,41,71,9,48,58,86,19,110,214,204,195,45,196,452,105325.9053,1.8,1.2,1.62,1.32,1.41,1.4,1.54,1.37,1.7,1.92,1.78,1.51,1.5475,168
